1	0	30335	327
2	129692	44496	777
3	316158	760	381
4	320690	870	307
5	325631	2688	790
6	340398	5089	1250
7	368483	2888	684
8	384463	5515	1307
9	414098	5942	357
10	444903	179	112
11	446103	7110	601
12	480983	1009	361
13	486825	1264	483
14	494218	550	128
15	497248	2070	335
16	507541	1766	637
17	517626	1544	223
18	525661	3076	254
19	540937	3107	215
20	557481	2407	955
21	570537	3803	596
22	590498	1091	232
23	596607	64	43
24	597041	3688	1194
25	618084	1524	105
26	625655	662	162
27	629313	1370	360
28	637257	1150	241
29	643756	3166	995
30	661629	580	214
31	665087	156	69
32	666070	9503	903
33	714460	315	183
34	716465	3757	747
35	736407	674	376
36	740507	596	233
37	744071	722	321
38	748340	550	87
39	751222	15	11
40	751334	2232	384
41	763691	585	217
42	767061	1476	508
43	775435	282	122
44	777135	2592	858
45	792076	458	178
46	794795	268	126
47	796435	152	80
48	797391	758	101
49	801609	6320	1199
50	835986	160	100
51	837042	842	329
52	842214	4994	298
53	863983	41	36
54	864292	6756	584
55	899779	559	192
56	902938	937	482
57	908673	14301	758
58	970560	2260	1032
59	983838	3286	649
60	1001167	6954	1422
61	1037847	261	126
62	1039443	491	158
63	1042346	2784	501
64	1057763	2035	371
65	1068535	1264	364
66	1075533	1299	222
67	1082225	75	47
68	1082739	2258	318
69	1095168	103	52
70	1095808	4215	713
71	1118793	4373	1538
72	1143265	1488	368
73	1150844	80	48
74	1151366	718	278
75	1155503	217	102
76	1156789	3970	970
77	1178562	950	261
78	1183960	9729	1700
79	1233880	1557	596
80	1242815	964	256
81	1248174	361	247
82	1250535	136	104
83	1251418	8080	651
84	1294258	31	23
85	1294483	2798	652
86	1309662	857	418
87	1314973	68	17
88	1315391	1798	706
89	1325969	1866	689
90	1336352	79	58
91	1336895	3993	1377
92	1359312	436	263
93	1362067	55	37
94	1362453	918	407
95	1367687	1853	400
96	1378174	272	149
97	1379902	246	122
98	1381429	3723	1144
99	1402728	3524	659
100	1421231	3039	909
101	1437879	117	65
102	1438607	198	79
103	1439776	792	334
104	1444518	573	182
105	1447859	685	235
106	1451845	7813	1779
107	1494867	1613	635
108	1504177	530	290
109	1507454	558	314
110	1510995	2761	392
111	1523738	9	8
112	1523808	2465	611
113	1537644	643	265
114	1541523	4025	644
115	1562900	641	335
116	1566876	1434	479
117	1575241	823	254
118	1580057	94	48
119	1580679	958	412
120	1586257	3153	714
121	1602747	1409	514
122	1611065	1674	221
123	1619166	91	66
124	1619802	249	109
125	1621400	4061	811
126	1643686	12507	1313
127	1708411	617	283
128	1712174	1228	243
129	1718748	272	114
130	1720307	1526	208
131	1727480	23	17
132	1727659	2307	225
133	1738723	2710	865
134	1753421	823	408
135	1758385	4684	881
136	1783184	2254	1528
137	1796558	3460	1439
138	1816121	7828	2141
139	1857908	4064	2297
140	1880938	500	324
141	1884014	2174	762
142	1896419	2150	772
143	1908799	2969	482
144	1925418	1854	544
145	1935748	1869	576
146	1945401	351	205
147	1947589	1550	569
148	1956467	3924	1321
149	1977017	1879	793
150	1987715	2696	603
151	2002786	1006	480
152	2008646	8	7
153	2008717	2172	202
154	2018885	2775	519
155	2032578	1598	541
156	2041118	16415	2492
157	2121615	6	1
158	2121648	55526	2099
159	2389517	10	1
160	2389570	42	25
161	2389824	3151	334
162	2407276	797	306
163	2411272	2	1
164	2411287	4523	1356
165	2434966	6099	1168
166	2464059	1302	552
167	2470927	8788	1714
168	2514603	4716	691
169	2539887	605	200
170	2542766	8041	859
171	2583214	952	268
172	2587867	179	152
173	2588803	4373	546
174	2608703	182	163
175	2609704	6553	289
176	2642831	2714	769
177	2657684	25380	587
178	2779137	5444	944
179	2807857	139	122
180	2808615	73	56
181	2809034	2116	209
182	2819463	243	123
183	2821045	3	2
184	2821069	306	79
185	2822783	4705	1240
186	2849007	3869	1102
187	2870705	2057	1012
188	2881012	6147	925
189	2912692	727	189
190	2917097	2845	836
191	2932819	927	276
192	2937600	4	1
193	2937625	4	1
194	2937650	1215	330
195	2943979	4	1
196	2944004	4	1
197	2944029	329	124
198	2945853	826	323
199	2950933	1996	731
200	2961859	5617	1573
201	2992101	1623	828
202	3001086	1005	398
203	3006705	2863	848
204	3022817	317	140
205	3024725	360	219
206	3027049	10367	1226
207	3077134	10896	1419
208	3132245	44	37
209	3132551	9991	2022
210	3182981	1262	562
211	3190138	146703	921
212	3843006	2330	242
213	3855336	36	16
214	3855582	1669	525
215	3865174	2486	401
216	3879082	2041	795
217	3891001	118	57
218	3891760	2425	547
219	3904476	1676	724
220	3913490	1763	398
221	3922825	428	255
222	3925405	1936	885
223	3936457	10487	1384
224	3989816	351	243
225	3991982	137	70
226	3992841	2130	870
227	4004719	47281	1187
228	4233030	19108	1986
229	4327257	8627	2251
230	4374213	2935	1602
231	4391606	7078	1944
232	4429015	553	378
233	4432230	15060	2718
234	4499310	11818	2507
235	4555346	2174	2127
236	4564310	5493	2137
237	4588421	4384	1416
238	4606411	4240	2185
239	4626342	239797	2312
240	5690955	13104	2414
241	5755250	4016	1882
242	5771947	12552	2099
243	5836946	69494	1915
244	6165745	2769	1362
245	6178273	5949	1483
246	6210780	4706	494
247	6234999	14320	1045
248	6307937	5570	1065
249	6336536	2689	540
250	6349604	16	1
251	6349685	879	475
252	6355104	10744	884
253	6410095	555	280
254	6413351	599	131
255	6416672	520	260
256	6419736	2929	397
257	6435197	8525	2618
258	6481214	1536	797
259	6489706	1513	610
260	6498166	2574	349
261	6511697	2503	700
262	6524965	6102	1044
263	6557591	2479	689
264	6571805	624	281
265	6575721	843	499
266	6580831	5916	1126
267	6613346	1451	247
268	6621040	2685	901
269	6636238	2296	490
270	6648090	785	203
271	6652371	6568	1371
272	6688317	1747	481
273	6697751	4747	506
274	6721655	304	207
275	6723614	3618	933
276	6743755	2495	485
277	6757612	5294	1399
278	6787599	2231	893
279	6800926	11705	2123
280	6862888	2469	639
281	6876805	4	2
282	6876836	55	43
283	6877228	2791	564
284	6892824	1050	354
285	6898935	345	114
286	6900839	557	152
287	6903907	387	119
288	6906190	397	22
289	6908181	937	79
290	6913132	2305	576
291	6926253	4817	912
292	6951559	486	254
293	6954621	1766	633
294	6964654	199	50
295	6965805	31	24
296	6966023	361	72
297	6968029	214	98
298	6969365	350	136
299	6971414	252	100
300	6972885	6059	642
301	7003713	7792	872
302	7044690	244	78
303	7046139	3243	533
304	7063316	10815	563
305	7115640	768	223
306	7120190	512	158
307	7123066	2213	770
308	7135500	378	171
309	7137786	155	82
310	7138716	2	1
311	7138733	523	143
312	7141627	844	150
313	7146129	186	58
314	7147184	271	152
315	7148917	698	309
316	7153168	35	27
317	7153435	411	174
318	7155970	1785	604
319	7166252	359	241
320	7168530	2602	677
321	7182872	2081	479
322	7194007	319	176
323	7195979	1208	100
324	7202183	430	253
325	7204811	163	75
326	7205890	1813	648
327	7216400	354	197
328	7218578	315	45
329	7220218	77	54
330	7220741	16	11
